Comune;Provincia;Regione;Nome;Anno inserimento;Data e ora inserimento;Identificatore in OpenStreetMap;Longitudine;Latitudine
AGLIE';CITTA' METROPOLITANA DI TORINO;Piemonte;Giardino del Castello Ducale di Agliè;2014;2014-06-08T10:11:18Z;2905417527;77.707.043;453.618.723
AGLIE';CITTA' METROPOLITANA DI TORINO;Piemonte;Parco del Castello Ducale di Agliè;2014;2014-06-08T10:11:18Z;2905417528;77.708.239;453.619.241.999.999
ALICE SUPERIORE;CITTA' METROPOLITANA DI TORINO;Piemonte;Pietra di Gioana;2014;2014-06-24T21:51:57Z;2931926874;77.931.415;454.737.678.999.999
BARONE CANAVESE;CITTA' METROPOLITANA DI TORINO;Piemonte;La Pera d'l beucc;2014;2014-06-03T15:06:33Z;2897288925;78.702.971;453.270.893.999.999
CAREMA;CITTA' METROPOLITANA DI TORINO;Piemonte;Saletta Comunale Carema;2015;2015-11-05T13:51:26Z;3818736269;78.121.999;455.842.748.999.999
CASELLE TORINESE;CITTA' METROPOLITANA DI TORINO;Piemonte;DC3 DAKOTA;2015;2015-08-16T15:43:28Z;2740773960;76.454.286;451.855.662.999.999
CASELLE TORINESE;CITTA' METROPOLITANA DI TORINO;Piemonte;DC3 DAKOTA;2015;2015-08-16T15:43:28Z;2740773960;76.454.286;451.855.662.999.999
CHIALAMBERTO;CITTA' METROPOLITANA DI TORINO;Piemonte;Castej d'le Rive - Piramide di erosione;2015;2015-10-18T18:58:27Z;3791857640;73.567.931;453.657.036.999.999
CHIALAMBERTO;CITTA' METROPOLITANA DI TORINO;Piemonte;Castej d'le Rive - Piramidi di erosione;2015;2015-10-18T18:58:27Z;3791857641;73.583.783;453.654.401
CHIALAMBERTO;CITTA' METROPOLITANA DI TORINO;Piemonte;Roc d'le Masche;2015;2015-10-09T11:01:06Z;3778284132;73.644.257;453.765.529
CHIAVERANO;CITTA' METROPOLITANA DI TORINO;Piemonte;I Tre Buij;2013;2013-01-06T22:31:10Z;2098280962;78.814.939;455.069.128
CHIAVERANO;CITTA' METROPOLITANA DI TORINO;Piemonte;Roc dla Biauta;2013;2013-01-01T21:46:31Z;2091528839;78.940.894;455.072.491
CLAVIERE;CITTA' METROPOLITANA DI TORINO;Piemonte;;2014;2014-09-04T21:24:04Z;3034681088;67.575.696;449.406.387
FENESTRELLE;CITTA' METROPOLITANA DI TORINO;Piemonte;Fortezza di Fenestrelle;2015;2015-02-19T11:54:01Z;2418393200;70.603.341;450.297.817
IVREA;CITTA' METROPOLITANA DI TORINO;Piemonte;;2014;2014-01-17T16:22:23Z;2626037290;78.648.537;454.558.561.999.999
IVREA;CITTA' METROPOLITANA DI TORINO;Piemonte;;2014;2014-01-17T16:22:23Z;2626037300;78.663.517;454.572.132.999.999
LORANZE';CITTA' METROPOLITANA DI TORINO;Piemonte;Masso Coppellato;2014;2014-06-20T20:36:00Z;2925194750;78.078.356;454.486.119.999.999
MONTALTO DORA;CITTA' METROPOLITANA DI TORINO;Piemonte;Roc del Pian d'Audurela;2013;2013-01-06T22:18:33Z;2098968081;78.766.409;455.022.822
ORIO CANAVESE;CITTA' METROPOLITANA DI TORINO;Piemonte;Masso Rabasso;2014;2014-06-03T15:06:33Z;2897288927;78.655.766;45.331.159
PARELLA;CITTA' METROPOLITANA DI TORINO;Piemonte;Castello di Parella;2014;2014-06-18T11:42:14Z;2921726090;77.966.597;454.300.363.999.999
PINEROLO;CITTA' METROPOLITANA DI TORINO;Piemonte;Palazzo dei Principi d'Acaia;2012;2012-12-20T16:09:09Z;2076341123;73.256.142;448.881.603.999.999
SALBERTRAND;CITTA' METROPOLITANA DI TORINO;Piemonte;;2013;2013-11-10T11:48:17Z;2526330247;68.870.889;450.618.290.999.999
SAN MARTINO CANAVESE;CITTA' METROPOLITANA DI TORINO;Piemonte;Antico Forno;2014;2014-06-12T12:44:58Z;2912662910;78.288.925;453.811.834.999.999
STRAMBINELLO;CITTA' METROPOLITANA DI TORINO;Piemonte;Ponte dei Preti;2014;2014-06-18T11:42:16Z;2921731811;77.626.688;454.166.242
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;;2014;2014-09-30T09:06:54Z;3103448293;76.585.485;450.321.405.999.999
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Castello del Borgo Medioevale;2015;2015-02-27T13:25:04Z;2012649764;76.845.686;450.486.499
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Castello del Valentino;2015;2015-02-27T13:24:51Z;3374712389;76.860.696;450.542.708.999.999
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Cavallerizza Reale;2015;2015-02-21T15:42:39Z;3363502193;76.902.547;450.698.221
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Chiostro Chiesa SS. Martiri;2015;2015-02-11T19:45:48Z;3344562652;76.792.156;450.730.468
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Portone del diavolo;2012;2012-11-23T12:26:22Z;1489359313;76.809.339;450.674.822
LIVORNO FERRARIS;VERCELLI;Piemonte;;2013;2013-10-07T08:22:55Z;2476589470;81.175.683;452.816.308
PIODE;VERCELLI;Piemonte;tratto attrezzato;2015;2015-07-04T21:51:23Z;3634623565;80.280.679;457.795.828
PIODE;VERCELLI;Piemonte;Tratto Attrezzato;2015;2015-07-10T00:26:38Z;3405452264;80.291.161;457.761.591
PRAROLO;VERCELLI;Piemonte;Castello di Prarolo;2014;2014-04-20T06:44:14Z;2802947726;84.779.835;452.815.894
RIVE;VERCELLI;Piemonte;Castello di Rive;2014;2014-07-16T06:58:03Z;2965557385;84.198.138;452.130.896
SABBIA;VERCELLI;Piemonte;Faggeta;2015;2015-03-22T13:40:27Z;3412646199;825.410.059.999.999;458.728.057
SCOPA;VERCELLI;Piemonte;Faggeta;2015;2015-03-22T14:42:40Z;3412729683;81.071.538;457.914.686
TRINO;VERCELLI;Piemonte;Abbazia di Lucedio;2014;2014-02-08T22:11:10Z;2481069297;82.337.994;452.372.735
VARALLO;VERCELLI;Piemonte;Castello d'Arian;2015;2015-03-26T08:22:57Z;2933901243;82.806.145;457.843.948
VARALLO;VERCELLI;Piemonte;Castello di Barbavara;2015;2015-03-26T14:39:18Z;3419781618;82.750.624;457.973.495
VARALLO;VERCELLI;Piemonte;Ponte della Gula;2014;2014-07-07T16:05:12Z;2290519296;82.493.254;458.444.946.999.999
VARALLO;VERCELLI;Piemonte;Sala Convegni;2013;2013-05-22T08:08:01Z;2315600189;825.679.309.999.999;45.820.152
VERCELLI;VERCELLI;Piemonte;Antica Ghiacciaia;2015;2015-01-27T18:36:21Z;3315020600;84.024.906;453.110.338.999.999
VERCELLI;VERCELLI;Piemonte;Antico Ospizio dei Poveri;2013;2013-12-11T16:42:36Z;2575965165;84.212.861;453.233.219.999.999
VERCELLI;VERCELLI;Piemonte;"Area Giochi """"Andrea Bodo""""";2014;2014-06-18T10:44:22Z;2921680446;84.259.512;453.222.998.999.999
VERCELLI;VERCELLI;Piemonte;Area Sgambamento Cani;2014;2014-07-17T12:52:25Z;2967519995;843.495.929.999.999;453.140.975.999.999
VERCELLI;VERCELLI;Piemonte;Area Sgambamento Cani;2014;2014-07-17T12:52:25Z;2967519996;8.434.725;453.210.714
VERCELLI;VERCELLI;Piemonte;Area Sgambamento Cani;2014;2014-07-23T16:17:27Z;2975931653;84.191.656;453.353.064
VERCELLI;VERCELLI;Piemonte;Area Sgambamento Cani 1;2014;2014-07-16T12:02:03Z;2965871921;84.041.677;453.336.805
VERCELLI;VERCELLI;Piemonte;Area Sgambamento Cani 1;2014;2014-07-17T12:52:25Z;2967519993;842.559.939.999.999;453.221.142
VERCELLI;VERCELLI;Piemonte;Area Sgambamento Cani 2;2014;2014-07-16T12:02:03Z;2965871922;84.040.865;453.333.190.999.999
VERCELLI;VERCELLI;Piemonte;Area Sgambamento Cani 2;2014;2014-07-17T12:52:25Z;2967519994;84.253.727;453.221.697.999.999
VERCELLI;VERCELLI;Piemonte;Area Sgambamento Cani 3;2014;2014-07-16T12:02:04Z;2965871923;84.038.799;453.331.266
VERCELLI;VERCELLI;Piemonte;Aula Magna;2014;2014-05-04T17:06:23Z;2836161522;84.145.045;453.177.236
VERCELLI;VERCELLI;Piemonte;Busto del Cardinale Guala Bicheri;2010;2010-11-20T02:44:40Z;995629044;84.131.484;453.180.792
VERCELLI;VERCELLI;Piemonte;Cappella del Beato Amdeo IX;2014;2014-11-08T10:57:30Z;3174594416;84.226.177;453.300.093
VERCELLI;VERCELLI;Piemonte;Casa Ara già Monastero di Sant'Agata;2014;2014-09-29T11:11:51Z;2987519025;842.218.229.999.999;453.273.222.999.999
VERCELLI;VERCELLI;Piemonte;Casa Avogadro di Quinto già Assalino;2014;2014-07-30T11:42:23Z;2987519026;842.098.099.999.999;453.273.640.999.999
VERCELLI;VERCELLI;Piemonte;Casa Bodo già del Monastero di Sant'Agata;2014;2014-07-30T11:42:23Z;2987519027;84.223.611;453.272.653
VERCELLI;VERCELLI;Piemonte;Casa degli Alciati;2014;2014-07-30T11:42:26Z;2559676810;84.225.201;453.265.898
VERCELLI;VERCELLI;Piemonte;Casa dei Minola da Stresa;2015;2015-11-28T12:06:11Z;3864892063;84.220.556;453.245.884.999.999
VERCELLI;VERCELLI;Piemonte;Casa detta dei Bicchieri;2014;2014-08-07T12:28:32Z;3002561372;84.258.766;453.251.239
VERCELLI;VERCELLI;Piemonte;Casa Forte;2014;2014-09-29T11:11:51Z;2987519028;8.421.891;453.276.661
VERCELLI;VERCELLI;Piemonte;Cripta dei Vescovi;2014;2014-11-08T10:57:30Z;3174594417;842.267.099.999.999;453.303.536
VERCELLI;VERCELLI;Piemonte;Domus Romana;2015;2015-05-14T11:10:25Z;3517091872;84.249.095;453.281.350.999.999
VERCELLI;VERCELLI;Piemonte;Ex Chiesa di san Nicola da Tolentino;2015;2015-05-14T11:10:26Z;3517091873;8.424.274;453.280.299.999.999
VERCELLI;VERCELLI;Piemonte;Ex Chiesa di Santa Croce;2014;2014-07-30T11:42:26Z;1220005970;841.937.049.999.999;453.280.421.999.999
VERCELLI;VERCELLI;Piemonte;Ex chiesa di Santo Stefano in Civitate;2015;2015-05-14T11:15:28Z;3517106898;84.250.416;453.282.454
VERCELLI;VERCELLI;Piemonte;Palazzo Arborio Mella;2015;2015-05-14T11:10:26Z;3517091874;8.424.002;453.291.619
VERCELLI;VERCELLI;Piemonte;Palazzo Avogadro della Motta;2015;2015-05-14T11:10:26Z;3517091875;84.239.381;453.288.677
VERCELLI;VERCELLI;Piemonte;Palazzo Avogadro di Quinto;2015;2015-05-14T11:10:26Z;3517091876;8.424.168;453.283.952
VERCELLI;VERCELLI;Piemonte;Palazzo Ayazza;2014;2014-07-30T11:42:26Z;2559676812;84.236.798;453.276.157.999.999
