Comune;Provincia;Regione;Nome;Anno inserimento;Data e ora inserimento;Identificatore in OpenStreetMap;Longitudine;Latitudine
ALTRO;ALTRO;ALTRO;Arc de Tortisse;2012;2012-07-08T11:51:30Z;1817547327;6.9395245;44.3206099
ALTRO;ALTRO;ALTRO;begehbare Gletscherspalte;2011;2011-06-24T19:19:49Z;931414245;10.7181613;46.8625125
ALTRO;ALTRO;ALTRO;Castello di Morcote;2015;2015-10-23T19:59:53Z;430148697;8.9138059;45.9258980999999
ALTRO;ALTRO;ALTRO;Chapel;2011;2011-05-26T15:34:46Z;742351311;8.8815773;45.9635159999999
ALTRO;ALTRO;ALTRO;Eugen d'Albert;2015;2015-03-14T10:53:00Z;3070788597;8.9145792;45.9236422999999
ALTRO;ALTRO;ALTRO;Georges Baklanoff;2015;2015-03-14T10:53:00Z;3070797973;8.9147748;45.9237455
ALTRO;ALTRO;ALTRO;Giardino Botanico Chanousia;2015;2015-05-29T15:48:16Z;3556539971;6.8801879;45.6748975
ALTRO;ALTRO;ALTRO;Kaiser Franz Josef I Hilfsstollen;2012;2012-08-09T18:10:46Z;1859144336;13.5962409;46.4049567
ALTRO;ALTRO;ALTRO;Kr?nik;2015;2015-05-10T11:20:37Z;1468247094;13.529692;46.0389824
ALTRO;ALTRO;ALTRO;Palazzo Castelmur;2013;2013-03-24T11:45:21Z;1827502411;9.5825694;46.3427159
ALTRO;ALTRO;ALTRO;Römischer Meilenstein;2014;2014-08-21T12:06:49Z;671016448;12.4172996;46.7472736
ALTRO;ALTRO;ALTRO;Sacro Monte di Brissago;2015;2015-04-06T14:50:15Z;3441038580;8.7055822;46.1210195
ALTRO;ALTRO;ALTRO;Stallebach Wasserfall;2012;2012-12-10T14:13:08Z;1445352021;12.2982428;46.9077338
ALTRO;ALTRO;ALTRO;Stockalperturm;2015;2015-07-12T21:30:47Z;3647990675;8.140212;46.1958654
AGLIE';CITTA' METROPOLITANA DI TORINO;Piemonte;Giardino del Castello Ducale di Agliè;2014;2014-06-08T10:11:18Z;2905417527;7.7707043;45.3618723
AGLIE';CITTA' METROPOLITANA DI TORINO;Piemonte;Parco del Castello Ducale di Agliè;2014;2014-06-08T10:11:18Z;2905417528;7.7708239;45.3619241999999
ALICE SUPERIORE;CITTA' METROPOLITANA DI TORINO;Piemonte;Pietra di Gioana;2014;2014-06-24T21:51:57Z;2931926874;7.7931415;45.4737678999999
BARONE CANAVESE;CITTA' METROPOLITANA DI TORINO;Piemonte;La Pera d'l beucc;2014;2014-06-03T15:06:33Z;2897288925;7.8702971;45.3270893999999
CAREMA;CITTA' METROPOLITANA DI TORINO;Piemonte;Saletta Comunale Carema;2015;2015-11-05T13:51:26Z;3818736269;7.8121999;45.5842748999999
CASELLE TORINESE;CITTA' METROPOLITANA DI TORINO;Piemonte;DC3 DAKOTA;2015;2015-08-16T15:43:28Z;2740773960;7.6454286;45.1855662999999
CASELLE TORINESE;CITTA' METROPOLITANA DI TORINO;Piemonte;DC3 DAKOTA;2015;2015-08-16T15:43:28Z;2740773960;7.6454286;45.1855662999999
CHIALAMBERTO;CITTA' METROPOLITANA DI TORINO;Piemonte;Castej d'le Rive - Piramide di erosione;2015;2015-10-18T18:58:27Z;3791857640;7.3567931;45.3657036999999
CHIALAMBERTO;CITTA' METROPOLITANA DI TORINO;Piemonte;Castej d'le Rive - Piramidi di erosione;2015;2015-10-18T18:58:27Z;3791857641;7.3583783;45.3654401
CHIALAMBERTO;CITTA' METROPOLITANA DI TORINO;Piemonte;Roc d'le Masche;2015;2015-10-09T11:01:06Z;3778284132;7.3644257;45.3765529
CHIAVERANO;CITTA' METROPOLITANA DI TORINO;Piemonte;I Tre Buij;2013;2013-01-06T22:31:10Z;2098280962;7.8814939;45.5069128
CHIAVERANO;CITTA' METROPOLITANA DI TORINO;Piemonte;Roc dla Biauta;2013;2013-01-01T21:46:31Z;2091528839;7.8940894;45.5072491
CLAVIERE;CITTA' METROPOLITANA DI TORINO;Piemonte;;2014;2014-09-04T21:24:04Z;3034681088;6.7575696;44.9406387
FENESTRELLE;CITTA' METROPOLITANA DI TORINO;Piemonte;Fortezza di Fenestrelle;2015;2015-02-19T11:54:01Z;2418393200;7.0603341;45.0297817
IVREA;CITTA' METROPOLITANA DI TORINO;Piemonte;;2014;2014-01-17T16:22:23Z;2626037290;7.8648537;45.4558561999999
IVREA;CITTA' METROPOLITANA DI TORINO;Piemonte;;2014;2014-01-17T16:22:23Z;2626037300;7.8663517;45.4572132999999
LORANZE';CITTA' METROPOLITANA DI TORINO;Piemonte;Masso Coppellato;2014;2014-06-20T20:36:00Z;2925194750;7.8078356;45.4486119999999
MONTALTO DORA;CITTA' METROPOLITANA DI TORINO;Piemonte;Roc del Pian d'Audurela;2013;2013-01-06T22:18:33Z;2098968081;7.8766409;45.5022822
ORIO CANAVESE;CITTA' METROPOLITANA DI TORINO;Piemonte;Masso Rabasso;2014;2014-06-03T15:06:33Z;2897288927;7.8655766;45.331159
PARELLA;CITTA' METROPOLITANA DI TORINO;Piemonte;Castello di Parella;2014;2014-06-18T11:42:14Z;2921726090;7.7966597;45.4300363999999
PINEROLO;CITTA' METROPOLITANA DI TORINO;Piemonte;Palazzo dei Principi d'Acaia;2012;2012-12-20T16:09:09Z;2076341123;7.3256142;44.8881603999999
SALBERTRAND;CITTA' METROPOLITANA DI TORINO;Piemonte;;2013;2013-11-10T11:48:17Z;2526330247;6.8870889;45.0618290999999
SAN MARTINO CANAVESE;CITTA' METROPOLITANA DI TORINO;Piemonte;Antico Forno;2014;2014-06-12T12:44:58Z;2912662910;7.8288925;45.3811834999999
STRAMBINELLO;CITTA' METROPOLITANA DI TORINO;Piemonte;Ponte dei Preti;2014;2014-06-18T11:42:16Z;2921731811;7.7626688;45.4166242
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;;2014;2014-09-30T09:06:54Z;3103448293;7.6585485;45.0321405999999
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Castello del Borgo Medioevale;2015;2015-02-27T13:25:04Z;2012649764;7.6845686;45.0486499
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Castello del Valentino;2015;2015-02-27T13:24:51Z;3374712389;7.6860696;45.0542708999999
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Cavallerizza Reale;2015;2015-02-21T15:42:39Z;3363502193;7.6902547;45.0698221
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Chiostro Chiesa SS. Martiri;2015;2015-02-11T19:45:48Z;3344562652;7.6792156;45.0730468
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Portone del diavolo;2012;2012-11-23T12:26:22Z;1489359313;7.6809339;45.0674822
LIVORNO FERRARIS;VERCELLI;Piemonte;;2013;2013-10-07T08:22:55Z;2476589470;8.1175683;45.2816308
PIODE;VERCELLI;Piemonte;tratto attrezzato;2015;2015-07-04T21:51:23Z;3634623565;8.0280679;45.7795828
PIODE;VERCELLI;Piemonte;Tratto Attrezzato;2015;2015-07-10T00:26:38Z;3405452264;8.0291161;45.7761591
PRAROLO;VERCELLI;Piemonte;Castello di Prarolo;2014;2014-04-20T06:44:14Z;2802947726;8.4779835;45.2815894
RIVE;VERCELLI;Piemonte;Castello di Rive;2014;2014-07-16T06:58:03Z;2965557385;8.4198138;45.2130896
SABBIA;VERCELLI;Piemonte;Faggeta;2015;2015-03-22T13:40:27Z;3412646199;8.25410059999999;45.8728057
SCOPA;VERCELLI;Piemonte;Faggeta;2015;2015-03-22T14:42:40Z;3412729683;8.1071538;45.7914686
TRINO;VERCELLI;Piemonte;Abbazia di Lucedio;2014;2014-02-08T22:11:10Z;2481069297;8.2337994;45.2372735
VARALLO;VERCELLI;Piemonte;Castello d'Arian;2015;2015-03-26T08:22:57Z;2933901243;8.2806145;45.7843948
VARALLO;VERCELLI;Piemonte;Castello di Barbavara;2015;2015-03-26T14:39:18Z;3419781618;8.2750624;45.7973495
VARALLO;VERCELLI;Piemonte;Ponte della Gula;2014;2014-07-07T16:05:12Z;2290519296;8.2493254;45.8444946999999
VARALLO;VERCELLI;Piemonte;Sala Convegni;2013;2013-05-22T08:08:01Z;2315600189;8.25679309999999;45.820152
VERCELLI;VERCELLI;Piemonte;Antica Ghiacciaia;2015;2015-01-27T18:36:21Z;3315020600;8.4024906;45.3110338999999
VERCELLI;VERCELLI;Piemonte;Antico Ospizio dei Poveri;2013;2013-12-11T16:42:36Z;2575965165;8.4212861;45.3233219999999
VERCELLI;VERCELLI;Piemonte;"Area Giochi """"Andrea Bodo""""";2014;2014-06-18T10:44:22Z;2921680446;8.4259512;45.3222998999999
VERCELLI;VERCELLI;Piemonte;Area Sgambamento Cani;2014;2014-07-17T12:52:25Z;2967519995;8.43495929999999;45.3140975999999
VERCELLI;VERCELLI;Piemonte;Area Sgambamento Cani;2014;2014-07-17T12:52:25Z;2967519996;8.434725;45.3210714
VERCELLI;VERCELLI;Piemonte;Area Sgambamento Cani;2014;2014-07-23T16:17:27Z;2975931653;8.4191656;45.3353064
VERCELLI;VERCELLI;Piemonte;Area Sgambamento Cani 1;2014;2014-07-16T12:02:03Z;2965871921;8.4041677;45.3336805
VERCELLI;VERCELLI;Piemonte;Area Sgambamento Cani 1;2014;2014-07-17T12:52:25Z;2967519993;8.42559939999999;45.3221142
VERCELLI;VERCELLI;Piemonte;Area Sgambamento Cani 2;2014;2014-07-16T12:02:03Z;2965871922;8.4040865;45.3333190999999
VERCELLI;VERCELLI;Piemonte;Area Sgambamento Cani 2;2014;2014-07-17T12:52:25Z;2967519994;8.4253727;45.3221697999999
VERCELLI;VERCELLI;Piemonte;Area Sgambamento Cani 3;2014;2014-07-16T12:02:04Z;2965871923;8.4038799;45.3331266
VERCELLI;VERCELLI;Piemonte;Aula Magna;2014;2014-05-04T17:06:23Z;2836161522;8.4145045;45.3177236
VERCELLI;VERCELLI;Piemonte;Busto del Cardinale Guala Bicheri;2010;2010-11-20T02:44:40Z;995629044;8.4131484;45.3180792
VERCELLI;VERCELLI;Piemonte;Cappella del Beato Amdeo IX;2014;2014-11-08T10:57:30Z;3174594416;8.4226177;45.3300093
VERCELLI;VERCELLI;Piemonte;Casa Ara già Monastero di Sant'Agata;2014;2014-09-29T11:11:51Z;2987519025;8.42218229999999;45.3273222999999
VERCELLI;VERCELLI;Piemonte;Casa Avogadro di Quinto già Assalino;2014;2014-07-30T11:42:23Z;2987519026;8.42098099999999;45.3273640999999
VERCELLI;VERCELLI;Piemonte;Casa Bodo già del Monastero di Sant'Agata;2014;2014-07-30T11:42:23Z;2987519027;8.4223611;45.3272653
VERCELLI;VERCELLI;Piemonte;Casa degli Alciati;2014;2014-07-30T11:42:26Z;2559676810;8.4225201;45.3265898
VERCELLI;VERCELLI;Piemonte;Casa dei Minola da Stresa;2015;2015-11-28T12:06:11Z;3864892063;8.4220556;45.3245884999999
VERCELLI;VERCELLI;Piemonte;Casa detta dei Bicchieri;2014;2014-08-07T12:28:32Z;3002561372;8.4258766;45.3251239
VERCELLI;VERCELLI;Piemonte;Casa Forte;2014;2014-09-29T11:11:51Z;2987519028;8.421891;45.3276661
VERCELLI;VERCELLI;Piemonte;Cripta dei Vescovi;2014;2014-11-08T10:57:30Z;3174594417;8.42267099999999;45.3303536
VERCELLI;VERCELLI;Piemonte;Domus Romana;2015;2015-05-14T11:10:25Z;3517091872;8.4249095;45.3281350999999
VERCELLI;VERCELLI;Piemonte;Ex Chiesa di san Nicola da Tolentino;2015;2015-05-14T11:10:26Z;3517091873;8.424274;45.3280299999999
VERCELLI;VERCELLI;Piemonte;Ex Chiesa di Santa Croce;2014;2014-07-30T11:42:26Z;1220005970;8.41937049999999;45.3280421999999
VERCELLI;VERCELLI;Piemonte;Ex chiesa di Santo Stefano in Civitate;2015;2015-05-14T11:15:28Z;3517106898;8.4250416;45.3282454
VERCELLI;VERCELLI;Piemonte;Palazzo Arborio Mella;2015;2015-05-14T11:10:26Z;3517091874;8.424002;45.3291619
VERCELLI;VERCELLI;Piemonte;Palazzo Avogadro della Motta;2015;2015-05-14T11:10:26Z;3517091875;8.4239381;45.3288677
VERCELLI;VERCELLI;Piemonte;Palazzo Avogadro di Quinto;2015;2015-05-14T11:10:26Z;3517091876;8.424168;45.3283952
VERCELLI;VERCELLI;Piemonte;Palazzo Ayazza;2014;2014-07-30T11:42:26Z;2559676812;8.4236798;45.3276157999999
VERCELLI;VERCELLI;Piemonte;Palazzo Barberis;2014;2014-10-30T18:28:12Z;3158269207;8.41733999999999;45.3255257
VERCELLI;VERCELLI;Piemonte;Palazzo Borgogna già Lanchetti;2014;2014-10-08T13:30:21Z;3118395393;8.4250875;45.3241042
VERCELLI;VERCELLI;Piemonte;Palazzo Ferraris;2015;2015-05-14T11:10:26Z;3517091877;8.4240826;45.3279764999999
VERCELLI;VERCELLI;Piemonte;Palazzo Langosco;2013;2013-12-01T11:48:35Z;2559676813;8.4237424;45.3268587
VERCELLI;VERCELLI;Piemonte;Palazzo Montanaro di Viancino;2014;2014-07-30T11:42:23Z;2987519029;8.4223514;45.3264831999999
VERCELLI;VERCELLI;Piemonte;Palazzo Montegrandi;2014;2014-07-30T11:42:26Z;2986544655;8.4241553;45.3275926
VERCELLI;VERCELLI;Piemonte;Palazzo Olgiati;2014;2014-07-31T09:43:04Z;2989189631;8.42490029999999;45.3253727999999
VERCELLI;VERCELLI;Piemonte;Piccolo Studio;2011;2011-03-27T00:07:58Z;1220006134;8.4189873;45.3292189
VERCELLI;VERCELLI;Piemonte;Sala Capitolare;2011;2011-03-27T00:07:59Z;1220006210;8.41910539999999;45.3290799999999
VERCELLI;VERCELLI;Piemonte;Sala delle Tarsie;2014;2014-04-08T09:25:50Z;2525376976;8.4247083;45.323276
VERCELLI;VERCELLI;Piemonte;Salone Dugentesco;2014;2014-07-30T11:42:26Z;1220006168;8.41902239999999;45.3281599999999
VERCELLI;VERCELLI;Piemonte;Teatro dei Nobili;2014;2014-10-19T11:17:01Z;3138247794;8.4265351;45.3274152999999
VERCELLI;VERCELLI;Piemonte;Tempio di Venere;2013;2013-12-04T14:46:49Z;2561306205;8.4256537;45.326962
ARONA;NOVARA;Piemonte;San Carlone;2014;2014-08-22T21:39:24Z;2180408415;8.5433146;45.7702711
GALLIATE;NOVARA;Piemonte;Tomba di Achille Varzi;2015;2015-09-21T13:58:34Z;3752911925;8.7019454;45.4763653999999
ORTA SAN GIULIO;NOVARA;Piemonte;Villa Crespi;2012;2012-07-23T15:46:12Z;738250181;8.4161004;45.7966282
BARBARESCO;CUNEO;Piemonte;Enoteca Regionale del Barbaresco;2014;2014-11-01T17:53:03Z;275951852;8.0807591;44.7251859
ROCCAFORTE MONDOVI';CUNEO;Piemonte;Terme di Lurisia;2013;2013-08-19T20:15:57Z;105472783;7.6985162;44.2961236
VILLAR SAN COSTANZO;CUNEO;Piemonte;Riserva Naturale dei Ciciu del Villar;2009;2009-08-11T08:11:05Z;461603776;7.3846083;44.4911043999999
VINADIO;CUNEO;Piemonte;Forte di Vinadio;2010;2010-07-10T19:12:52Z;810385256;7.1720702;44.3071594
CASTEL BOGLIONE;ASTI;Piemonte;Azienda Agricola Cascina Garitina;2014;2014-02-10T15:07:36Z;2286180507;8.3794302;44.7354069
CASTELL'ALFERO;ASTI;Piemonte;Ciabot 'd Gianduja;2013;2013-09-03T14:06:07Z;1481147931;8.16827679999999;44.9723019999999
LOAZZOLO;ASTI;Piemonte;;2013;2013-04-30T13:41:40Z;2286742182;8.2672497;44.6558443999999
LOAZZOLO;ASTI;Piemonte;Borgo Maragliano Winary;2013;2013-09-14T00:50:19Z;2286742590;8.255743;44.6716284999999
LOAZZOLO;ASTI;Piemonte;Forteto della Luja;2011;2011-08-09T18:45:37Z;1392842514;8.25199699999999;44.687887
ACQUI TERME;ALESSANDRIA;Piemonte;Fonte la Bollente;2010;2010-09-21T09:46:28Z;920090796;8.4704447;44.6756292999999
ALESSANDRIA;ALESSANDRIA;Piemonte;ALEXALA - Turismo Alessandria & Monferrato;2015;2015-08-10T09:19:33Z;3689062425;8.6151481;44.9183671999999
ALESSANDRIA;ALESSANDRIA;Piemonte;Ex Distretto Militare di Alessandria;2015;2015-11-11T17:01:05Z;3831031157;8.6091555;44.9135588999999
ALESSANDRIA;ALESSANDRIA;Piemonte;Ex Ospedale Militare - Ex Chiesa S. Francesco;2015;2015-11-11T17:01:05Z;3831031158;8.615221;44.9110865
BOSIO;ALESSANDRIA;Piemonte;Laghi del Gorzente;2010;2010-08-04T08:15:14Z;845709323;8.8167617;44.54706
BOSIO;ALESSANDRIA;Piemonte;lago Badana;2010;2010-08-07T10:14:49Z;845726060;8.80910169999999;44.5487994
BOSIO;ALESSANDRIA;Piemonte;lago Bruno;2014;2014-11-04T13:29:41Z;845726064;8.8180494;44.5516742
CANTALUPO LIGURE;ALESSANDRIA;Piemonte;Strette del Borbera;2010;2010-03-06T07:53:17Z;660961547;9.030025;44.7261071
CASALE MONFERRATO;ALESSANDRIA;Piemonte;Monumento alla Difesa;2012;2012-06-03T14:21:10Z;949892814;8.44628269999999;45.1379792999999
CASALE MONFERRATO;ALESSANDRIA;Piemonte;Monumento a Luigi Canina;2010;2010-10-19T20:04:42Z;949892789;8.449697;45.1373386
CASALE MONFERRATO;ALESSANDRIA;Piemonte;Monumento equestre a Carlo Alberto;2014;2014-10-15T08:10:57Z;949892792;8.4511724;45.1371699
CASALE MONFERRATO;ALESSANDRIA;Piemonte;Torre Civica di Santo Stefano;2013;2013-11-09T08:51:36Z;706796971;8.44997079999999;45.1373539
CASALNOCETO;ALESSANDRIA;Piemonte;Palazzo Spinola;2013;2013-11-10T16:51:25Z;635199037;8.9593617;44.9246485
CASTELLANIA;ALESSANDRIA;Piemonte;Casa di Fausto Coppi;2010;2010-02-10T20:18:11Z;635196404;8.93057439999999;44.7980392999999
LU;ALESSANDRIA;Piemonte;Torre di LU;2015;2015-04-24T18:30:53Z;3475343713;8.4838087;45.0015803
ANTEY-SAINT-ANDRE';AOSTA;Valle d'Aosta;Incisioni rupestri Tsamosentse;2011;2011-12-20T11:04:31Z;1555520281;7.6090347;45.8419773999999
ANTEY-SAINT-ANDRE';AOSTA;Valle d'Aosta;Ru Pan Perdu;2011;2011-11-26T16:00:00Z;1517929615;7.5833529;45.8065238
AOSTA;AOSTA;Valle d'Aosta;Anfiteatro romano di Aosta;2015;2015-01-21T09:34:54Z;2662274391;7.3218748;45.7396316
AOSTA;AOSTA;Valle d'Aosta;Casa Tollen;2015;2015-02-07T08:57:34Z;3335688379;7.3228983;45.7390619999999
AOSTA;AOSTA;Valle d'Aosta;Castello di Bramafam (Torre di Bramafam);2015;2015-01-21T22:29:17Z;3302099230;7.3187447;45.733978
AOSTA;AOSTA;Valle d'Aosta;Hotel de La Monnaie;2015;2015-02-07T08:57:34Z;3335688381;7.3229821;45.7389557999999
AOSTA;AOSTA;Valle d'Aosta;Tiglio secolare;2015;2015-01-21T09:34:54Z;848109685;7.3248423;45.7392017
AOSTA;AOSTA;Valle d'Aosta;Torre Casei / Tour Fromages;2015;2015-02-07T08:57:34Z;3335688382;7.3228987;45.7388363999999
AOSTA;AOSTA;Valle d'Aosta;Torre dei Balivi;2015;2015-02-07T08:57:43Z;3302997764;7.3221137;45.7403409
AOSTA;AOSTA;Valle d'Aosta;Torre dei Signori di Porta S. Orso;2015;2015-01-21T09:34:38Z;3302099232;7.3233004;45.7380867999999
AOSTA;AOSTA;Valle d'Aosta;Torre del Lebbroso;2015;2015-01-25T09:34:57Z;3302099233;7.3156142;45.7343802999999
AOSTA;AOSTA;Valle d'Aosta;Torre Pertuis / Maison Blanche;2015;2015-02-07T08:57:34Z;3335688383;7.320089;45.7396839999999
AOSTA;AOSTA;Valle d'Aosta;Tour du Pailleron;2015;2015-01-25T09:10:54Z;3309154083;7.3226071;45.7349778999999
AOSTA;AOSTA;Valle d'Aosta;Tourneuve;2015;2015-01-21T09:34:39Z;3302099234;7.3135307;45.737895
ARNAD;AOSTA;Valle d'Aosta;Casaforte di Ville;2015;2015-12-13T08:51:06Z;3890034690;7.7262053;45.6416509
