Comune;Nome;Tipo
BARI;Focaccia barese;
BARI;Tiella barese;
BARI;Panzerotti;
BARI;Sgagliozze;
BARI;Orecchiette con cime di rapa;
BARI;Spaghetti all'Assassina;
BARI;Zampina;
BARI;Tetta della monaca;
BARI;Polpo arrostito;
BARI;Cartellate pugliesi;
NAPOLI;Pizza al piatto napoletana;
NAPOLI;Cuoppo;
NAPOLI;Sfogliatella Frolla;
NAPOLI;Sfogliatella Riccia;
NAPOLI;Pizza a portafoglio;
NAPOLI;Pasta patate e provola;
NAPOLI;Babà;
NAPOLI;Pizza fritta;
ROMA;Pasta all'amatriciana;
ROMA;Pasta alla carbonara;
ROMA;Pasta cacio e pepe;
ROMA;Coda alla vaccinara;
ROMA;Saltimbocca alla romana;
ROMA;Carciofi alla giudia;
MILANO;Cotoletta alla milanese;
MILANO;Risotto alla milanese;
TORINO;Vitello tonnato;
TORINO;Brasato al barolo;
TORINO;Agnolotti;
TORINO;Bagna Cauda;
PALERMO;Pasta con le sarde;
PALERMO;Arancina;
PALERMO;Stigghiole;
PALERMO;Cannolo siciliano;
PALERMO ;Pane ca meusa;
