Comune;Provincia;Regione;Nome;Anno inserimento;Data e ora inserimento;Identificatore in OpenStreetMap;Longitudine;Latitudine
51001;51;9;Museo delle Memorie e del paesaggio;2014;2014-08-06T11:01:43Z;246841401;12,0564484;43,5408428
58091;58;12;Casa di Augusto;2012;2012-04-04T18:09:07Z;307965221;12,4852456;41,8886142
42011;42;11;Parco archeologico di Suasa;2013;2013-05-24T14:05:18Z;259966436;12,9846142;43,6255731
48018;48;9; ;2008;2008-08-22T10:16:21Z;290089473;11,424296;44,0746867
50003;50;9;Museo di Storia Naturale;2012;2012-02-26T14:28:37Z;213470889;10,5226899;43,7218633
50026;50;9;Museo Nazionale di San Matteo;2013;2013-10-03T12:47:22Z;258881425;10,4074164;43,7146365
50026;50;9;Museo degli Strumenti per il Calcolo;2014;2014-05-19T11:52:56Z;274254526;10,3903671;43,716677
54026;54;10;Museo della Pesca del Lago Trasimeno;2010;2010-05-06T06:49:45Z;308027678;12,1657059;43,1191261
51020;51;9; ;2009;2009-08-27T17:13:33Z;475152156;11,631376;43,5932186
51024;51;9;Museo della Madonna del Parto;2015;2015-08-16T16:08:44Z;486098087;12,1125999;43,4845005
50039;50;9;Museo della Tortura;2015;2015-07-28T15:28:48Z;471087404;10,8632867;43,4014147
58091;58;12;Museo della Civiltà Romana;2013;2013-11-11T20:50:02Z;401949920;12,478044;41,8320562
58091;58;12;Museo dell'Astronomia e Planetario;2012;2012-08-24T19:10:18Z;401949921;12,4774786;41,8309111
58091;58;12;Museo Storico dei Bersaglieri;2013;2013-02-03T20:41:06Z;602095458;12,5010785;41,909267
42021;42;11;Museo della Stampa;2009;2009-09-20T12:25:03Z;503056516;13,2465827;43,5230145
42002;42;11;Museo Tattile Statale Omero;2013;2013-03-02T19:28:49Z;469094013;13,5117778;43,6086322
48038;48;9;L'Albergaccio di Niccolò Machiavelli;2014;2014-12-12T21:42:09Z;602271572;11,1973054;43,682779
48017;48;9;Galleria dell'Accademia;2014;2014-10-21T18:59:37Z;560308250;11,2585976;43,7766155
48045;48;9;Museo d'Arte sacra di Tavarnelle in Val di Pesa;2015;2015-06-10T21:08:09Z;601362111;11,1847081;43,5678114
44011;44;11;Museo Archeologico Comunale;2010;2010-05-13T01:06:50Z;602787499;13,7075636;42,8736584
46033;46;9;Gamc Museo Arte Moderna;2012;2012-08-06T20:16:04Z;483540372;10,2434976;43,871086
54001;54;10;Pinacoteca;2009;2009-10-25T09:01:09Z;540035441;12,6090516;43,0730858
54001;54;10;Museo missionario indios frati cappuccini dell'U;2014;2014-09-21T07:28:58Z;540035444;12,6077262;43,0735858
54001;54;10;Foro Romano e Collezione archeologica;2014;2014-01-02T16:39:21Z;540035451;12,614141;43,0713332
50026;50;9;Museo delle Sinopie;2014;2014-10-02T20:42:04Z;504436266;10,3943989;43,7225679
50026;50;9;Museo dell'Opera del Duomo;2014;2014-10-02T20:42:04Z;504436285;10,3967667;43,7225399
52015;52;9;Museo Civico di Montepulciano;2012;2012-06-11T16:24:39Z;427765480;11,7809504;43,0933435
50029;50;9;Museo Piaggio;2015;2015-10-09T08:12:47Z;335577875;10,6329895;43,6607785
52032;52;9;Accademia Fisiocritici;2014;2014-10-01T22:01:57Z;458460120;11,3308388;43,3142232
52032;52;9;Contrada della Chiocciola;2011;2011-06-06T06:28:55Z;496130465;11,3280523;43,3133053
56008;56;12;Museo territoriale del Lago di Bolsena;2012;2012-07-18T13:53:19Z;428173394;11,9856104;42,6461428
109006;109;11;Pinacoteca Comunale (Palazzo dei Priori);2015;2015-08-15T15:14:31Z;619005706;13,7182677;43,1617444
44054;44;11;Museo di Offida;2010;2010-03-22T22:28:20Z;672506539;13,6896514;42,9339012
