Comune;Nome;Luogo;Tipo;Rating
NAPOLI;Valle dell'Orso;Torre del Greco;;1
NAPOLI ;Edenlandia;Napoli;;2
NAPOLI;Aquarium;Napoli;;2
NAPOLI;Liberty City Fun;Volla;;1
NAPOLI;Acquapark Free Time;Giugliano;;1
NAPOLI;Ditellandia Air Acqua Park;Mondragone;;1
NAPOLI ;AquaFarm ;Battipaglia;;1
NAPOLI;Aquapark Le Campole;Formicola;;1
NAPOLI;Indiana Park;Ischia;;1
NAPOLI;Parco Montevergine;Avellino;;1
NAPOLI;Zoo di Napoli;Napoli;;3
RAVENNA;Mirabilandia;;;5
RIMINI;Acquafan;;;3
RIMINI ;Oltremare;;;3
RIMINI;Italia in Miniatura;;;4
ROMA;Magicland;Roma;;4
ROMA;Zoomarine;Roma;;3
ROMA;CinecittàWorld;Roma;;4
ROMA;Acquafelix;Roma;Acquatico/meccanico;3
ROMA;BioParco;Roma;;3
ROMA;Hydromania;Roma;Acquatico;2
MILANO;LeoLandia;Bergamo;;4
MILANO;Acquatica Park;Milano;;3
MILANO;Acquaworld ;Milano;;2
MILANO;Gardaland;Milano;;5
MILANO;Acquapark Lodi;Lodi;;2
MILANO;Le Cornelle;Bergamo;;2
BARI;Fasanolandia;Fasano;;3
BARI;Zoo Safari;Fasano;;3
BARI;Indiana Park ;Castellana Grotte;;2
PALERMO;Acquapark Monreale;Palermo;;3
PALERMO;Parco Avventura Madonie;Palermo;;1
TORINO;Ondaland ;Novara;;2
TORINO;Acquajoy;Rivoli;;2
TORINO ;Acquapark Blu Paradise;Torino;;2
