Comune;Provincia;Regione;Nome;Anno inserimento;Data e ora inserimento;Identificatore in OpenStreetMap;Longitudine;Latitudine
ALTRO;ALTRO;ALTRO;Rest of church San Valentino;2014;2014-01-01T20:51:53Z;360831646;13.6431052;45.9827401
ALTRO;ALTRO;ALTRO;?tirna vrh Drage;2012;2012-08-09T19:12:58Z;1859261869;13.6063601999999;45.8639048
ALTRO;ALTRO;ALTRO;Terrassen der Baracken und Unterstände aus 1. W;2013;2013-09-23T09:21:18Z;2468533310;12.4396667;46.6900605
BORGONE SUSA;CITTA' METROPOLITANA DI TORINO;Piemonte;Maometto;2015;2015-10-16T11:28:39Z;1668880474;7.2254192;45.1298917
CAPRIE;CITTA' METROPOLITANA DI TORINO;Piemonte;Ballo delle Masche;2013;2013-02-26T17:54:55Z;2175408488;7.3707811;45.1162323
CAVOUR;CITTA' METROPOLITANA DI TORINO;Piemonte;Pera d'la Pansa;2013;2013-03-14T09:23:33Z;2194767861;7.3789127;44.7818065
CERES;CITTA' METROPOLITANA DI TORINO;Piemonte;Vecchio Campanile Sec. XIII;2012;2012-05-21T06:31:27Z;1757226159;7.3886417;45.3154448
CHIOMONTE;CITTA' METROPOLITANA DI TORINO;Piemonte;Maddalena;2012;2012-12-23T18:27:47Z;1315277531;6.9858711;45.1279147999999
CORIO;CITTA' METROPOLITANA DI TORINO;Piemonte;Ponte Mulino dell'avvocato;2014;2014-08-02T10:15:47Z;2529104092;7.5255721;45.3230611999999
CORIO;CITTA' METROPOLITANA DI TORINO;Piemonte;Ponte Picca;2014;2014-08-30T15:11:02Z;2529099681;7.5385881;45.3168535
COSSANO CANAVESE;CITTA' METROPOLITANA DI TORINO;Piemonte;Pera Cunca;2015;2015-05-16T08:44:08Z;3521336688;7.9968456;45.3780475
LUGNACCO;CITTA' METROPOLITANA DI TORINO;Piemonte;Menhir;2014;2014-06-23T00:46:31Z;2407685735;7.7776849;45.4439210999999
MONTEU DA PO;CITTA' METROPOLITANA DI TORINO;Piemonte;Industria;2014;2014-02-06T10:42:04Z;2657361501;8.01864179999999;45.1592007
PECETTO TORINESE;CITTA' METROPOLITANA DI TORINO;Piemonte;Bric San Viter;2015;2015-03-25T14:16:00Z;1983089822;7.7428506;45.0289373999999
PERRERO;CITTA' METROPOLITANA DI TORINO;Piemonte;Iscrizioni rupestri;2015;2015-06-07T19:02:12Z;1840555628;7.1544228;44.9410728
RIVOLI;CITTA' METROPOLITANA DI TORINO;Piemonte;Porta Sorda;2014;2014-07-04T18:56:46Z;2948363935;7.5127427;45.0692292
SANT'AMBROGIO DI TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Ara megalitica;2014;2014-11-28T05:59:47Z;3208545039;7.3436089;45.0868635
TORINO;CITTA' METROPOLITANA DI TORINO;Piemonte;Torre della cinta muraria romana;2014;2014-04-14T19:54:50Z;2791303939;7.6789732;45.0769667
TRANA;CITTA' METROPOLITANA DI TORINO;Piemonte;;2015;2015-02-12T08:59:42Z;3345410786;7.4203449;45.0188951
TRANA;CITTA' METROPOLITANA DI TORINO;Piemonte;;2015;2015-02-12T08:59:42Z;3345410787;7.42061;45.0199185999999
TRANA;CITTA' METROPOLITANA DI TORINO;Piemonte;;2015;2015-02-12T08:59:42Z;3345410788;7.4208685;45.0200751
VILLAR FOCCHIARDO;CITTA' METROPOLITANA DI TORINO;Piemonte;Cà 'd Marc;2013;2013-09-03T14:06:08Z;1288893575;7.2131508;45.0818530999999
VILLAR FOCCHIARDO;CITTA' METROPOLITANA DI TORINO;Piemonte;Macine;2012;2012-03-31T14:21:27Z;1699647570;7.2305683;45.1055549
VISTRORIO;CITTA' METROPOLITANA DI TORINO;Piemonte;Ponte Romano;2014;2014-08-23T20:41:13Z;2931926876;7.7626294;45.4408637
ALAGNA VALSESIA;VERCELLI;Piemonte;;2014;2014-08-29T23:04:19Z;3049671170;7.9440446;45.8550892
BORGO TICINO;NOVARA;Piemonte;Preagüzza;2014;2014-11-10T10:50:32Z;2533816562;8.5763712;45.6904666
GATTICO;NOVARA;Piemonte;Sass Malò;2013;2013-06-14T12:33:02Z;2344400256;8.5310823;45.7070634
GRIGNASCO;NOVARA;Piemonte;;2013;2013-07-28T22:04:18Z;2399863927;8.3257716;45.6970797
ROMAGNANO SESIA;NOVARA;Piemonte;Cantina dei Santi;2014;2014-01-14T15:49:20Z;2622375249;8.3845353;45.6326158
SUNO;NOVARA;Piemonte;Preja da Scalavè;2015;2015-06-13T19:19:46Z;3431987488;8.5822311;45.6270456
BENE VAGIENNA;CUNEO;Piemonte;Anfiteatro Augusta Bagiennorum;2014;2014-10-22T23:16:19Z;1684612308;7.8502156;44.5567826999999
CASTELMAGNO;CUNEO;Piemonte;Incisioni rupestri;2012;2012-04-22T19:38:58Z;1727023171;7.2247804;44.4226037
ENTRACQUE;CUNEO;Piemonte;Ponte del Suffiet;2015;2015-06-24T23:57:34Z;3097423527;7.4463932;44.1934623
ENTRACQUE;CUNEO;Piemonte;Ponte di Burga;2013;2013-09-05T12:12:38Z;2447064341;7.3895736;44.2444048999999
